index,list_price,play_star_rating,prod_id,set_name,star_rating
100,195.1878,3.8,17101.0,BOOST Creative Toolbox,3.4
101,177.4929,3.2,76105.0,The Hulkbuster: Ultron Edition,3.8
102,24.3878,4.5,60107.0,Fire Ladder Truck,4.5
103,41.986,4.9,70920.0,Egghead™ Mech Food Fight,4.7
104,50.898,4.3,41146.0,Cinderella's Enchanted Evening,4.8
105,85.7922,5.0,41318.0,Heartlake Hospital,4.8
106,335.952,3.7,42070.0,6x6 All Terrain Tow Truck,3.5
107,12.1878,3.0,41605.0,Thanos,5.0
108,24.3878,4.5,42073.0,BASH!,4.0
109,67.152,4.0,75205.0,Mos Eisley Cantina™,3.5
110,30.4878,4.0,31067.0,Modular Poolside Holiday,4.6
111,207.3878,4.7,70618.0,Destiny's Bounty,4.9
112,36.5878,4.0,31080.0,Modular Winter Vacation,3.5
113,85.3878,4.6,41340.0,Friendship House,4.0
114,36.5878,5.0,76096.0,Superman™ & Krypto™ Team-Up,5.0
115,92.2929,4.8,75172.0,Y-Wing Starfighter™,4.7
116,79.28779999999998,4.1,76078.0,Hulk vs. Red Hulk,3.7
117,19.4922,4.3,75173.0,Luke's Landspeeder™,4.5
118,12.1878,4.5,60157.0,Jungle Starter Set,4.9
119,181.986,4.5,10251.0,Brick Bank,4.7
120,54.8878,3.6,21034.0,London,4.7
121,36.5878,4.2,71248.0,Mission: Impossible™ Level Pack,4.5
122,48.7878,4.1,21036.0,Arc de Triomphe,4.4
123,60.9878,5.0,10846.0,Flo's Café,5.0
124,30.439,5.0,41315.0,Heartlake Surf Shop,4.5
125,73.1878,3.3,41324.0,Snow Resort Ski Lift,3.7
126,26.0971,4.0,72002.0,Twinfector,5.0
127,23.952,5.0,70638.0,Katana V11,5.0
128,97.37,5.0,41126.0,Heartlake Riding Club,5.0
129,37.9924,4.2,70903.0,The Riddler™ Riddle Racer,4.2
130,10.1322,4.0,31029.0,Cargo Heli,4.8
131,78.09289999999999,5.0,10813.0,Big Construction Site,5.0
132,24.99,2.2,10845.0,My First Carousel,2.2
133,23.1678,3.0,41614.0,Owen & Blue,5.0
134,103.6878,5.0,75929.0,Carnotaurus Gyrosphere Escape,5.0
135,48.7878,3.6,60154.0,Bus Station,3.3
136,40.2478,4.2,21032.0,Sydney,4.6
137,30.3924,4.0,31079.0,Sunshine Surfer Van,4.4
138,363.986,4.8,70620.0,NINJAGO® City,4.9
139,36.539,5.0,10759.0,Elastigirl's Rooftop Pursuit,5.0
140,60.9878,4.5,41187.0,Rosalyn's Healing Hideout,4.3
141,12.432,4.5,42084.0,Hook Loader,4.5
